DRUG_NO,Cate
A035891100,5
A038154100,5
A040168100,5
AC28131100,5
AC29059100,5
AC32801100,5
AC35637100,5
AC38996100,5
AC45177100,5
AC57219100,5
B018413100,5
B018414100,5
B019087100,5
B019855100,5
B019856100,5
B020567100,5
B020568100,5
B020917100,5
B021344100,5
B021962100,5
B022593100,5
B022951100,5
AC47626248,5
AC49057100,5
B018842100,5
B018843248,5
B019842100,5
B019884100,5
A043140100,5
A043970100,5
A044882100,5
A046045100,5
A046046100,5
A049527100,5
A056681100,5
AC48064100,5
AC52616100,5
AC55540100,5
B023235100,5
B023237100,5
A049307100,5
A050258100,5
AC56780100,5
B023293100,5
A056633100,5
A027307212,5
A027775100,5
A030615100,5
A0306151G0,5
A031173100,5
A031537100,5
A0315371G0,5
A033822100,5
A038926100,5
A039879100,5
A0398791G0,5
A045440100,5
A048129100,5
AC28032100,5
AC30120100,5
AC301201G0,5
AC37229100,5
AC43071100,5
B007588100,5
B016350212,5
B017118100,5
B017292100,5
B019953100,5
B023708100,5
A010358100,5
A0103581G0,5
A031889100,5
A032876100,5
A034373100,5
A038600100,5
A048127100,5
A048128100,5
AC30629100,5
AC33224100,5
AC332241G0,5
AC36966100,5
AC369661G0,5
AC38422100,5
AC45926100,5
AC46439100,5
B018540248,5
B019885100,5
B022678100,5
B022997100,5
B023001100,5
A030452100,6
A032275100,6
A032711100,6
A034880100,6
A036790100,6
A038204100,6
A040779100,6
A040949100,6
AC33910100,6
AC33915100,6
AC34598100,6
AC345981G0,6
AC35420100,6
AC354201G0,6
AC36788100,6
AC367881G0,6
AC37204100,6
AC37833100,6
AC37835100,6
B019631100,6
B019632100,6
A039414100,6
A039974100,6
A041281100,6
A042346100,6
A042711100,6
A042712100,6
A044315100,6
A044810100,6
A045975100,6
AC39401100,6
AC394011G0,6
AC41430100,6
AC42584100,6
AC425841G0,6
AC44420100,6
AC444201G0,6
AC44480100,6
AC444801G0,6
AC45254100,6
AC452541G0,6
AC48119100,6
AC481191G0,6
AC57246100,6
B021607100,6
B021608100,6
B021609100,6
A042824100,6
A044161100,6
A045172100,6
A055957100,6
AC43210100,6
AC43330100,6
AC44477100,6
B022151100,6
B022152100,6
B024862100,6
A048972100,6
A049178100,6
AC49904100,6
AC54966100,6
B019238100,6
B024304100,6
B024725100,6
B024855100,6
BC25409100,6
A046995100,6
A048836100,6
A049755100,6
A050177100,6
A054859100,6
A057235100,6
AC51029100,6
B023518100,6
B023603100,6
B025098100,6
B022124100,6
B022126100,6
B019089100,6
B018528100,6
AC46199100,6
AC47002100,6
B021421100,6
A043950100,6
A043951100,6
A003468212,7
A004189100,7
N002678209,7
N004780100,7
N006530209,7
N006864212,7
N012948100,7
A026032100,7
A026199100,7
A032496100,7
AC19461100,7
AC21607100,7
A015985100,7
A018783100,7
A019039100,7
A020613100,7
A021480100,7
A0214801G0,7
A023764100,7
A024832100,7
A025683100,7
A026144100,7
A026188100,7
A028504100,7
A038487100,7
A0384871G0,7
AC14079100,7
AC14981209,7
AC21684100,7
B025391100,7
AC26741100,7
AC267411G0,7
AC30415100,7
AC39962100,7
B021220100,7
B021221100,7
B0212211G0,7
A043765100,7
A044681100,7
A044853100,7
A050263100,7
AC42378100,7
AC42874100,7
AC43467100,7
AC44567100,7
AC44621100,7
AC45013100,7
AC45039100,7
AC45144100,7
AC49920100,7
AC57288100,7
B021641100,7
B021643100,7
B023711100,7
B024212100,7
B023179100,7
A024271100,7
A002756100,7
A005266100,7
A012837100,7
A0128371G0,7
A012898100,7
A018232100,7
A018448100,7
A025245209,7
A025245277,7
A030742100,7
A030743100,7
A030879100,7
A031534100,7
A0315341G0,7
A031540100,7
A0315401G0,7
A032117100,7
A0321171G0,7
AC00178100,7
AC001781G0,7
AC07342100,7
AC32851100,7
B007538100,7
B021879248,7
X000068100,7
X000069100,7
X000093100,7
X000094100,7
A029106100,7
A012000100,7
A018160100,7
A018183100,7
A0201111G0,7
A021820100,7
A024310100,7
A0243101G0,7
A024944100,7
A025365100,7
A0253651G0,7
A027013100,7
A030607100,7
A030883100,7
A034944100,7
A0349441G0,7
AC15422100,7
AC154221G0,7
NC00459100,7
A036675100,7
B016080100,7
B018925100,7
B018926100,7
A005757100,7
A006194100,7
A009782100,7
A010058100,7
A010332100,7
A010812100,7
A010848212,7
A015042100,7
A016350100,7
A016467100,7
A018250100,7
A0182501G0,7
A018251100,7
A0182511G0,7
A018458100,7
A018664100,7
A019192100,7
A019484100,7
A019639100,7
A0196391G0,7
A019875100,7
A0198751G0,7
A020871100,7
A0208711G0,7
A020927100,7
A021603100,7
A022259100,7
A023037100,7
A0230371G0,7
A023845100,7
A024076100,7
A024104100,7
A024536100,7
A029881100,7
A033900100,7
A0339001G0,7
A038168100,7
A039396100,7
A040430100,7
AC01806100,7
AC07175100,7
AC09102100,7
AC091021G0,7
AC20893100,7
B022143100,7
B0221431G0,7
B020238100,7
A046867100,7
AC43852100,7
B021303100,7
B021538100,7
A029301100,7
A029313100,7
A031032100,7
A036844100,7
A040547100,7
AC41956100,7
B016888100,7
B019507100,7
B019508100,7
B020174100,7
B023799100,7
A027452100,7
A029443100,7
A029735100,7
A031069100,7
A031223100,7
A033124100,7
A034359100,7
A035367100,7
A037928100,7
A038964100,7
A039816100,7
A039843100,7
A041497100,7
A041679100,7
A042258100,7
A043598100,7
A043704100,7
A044163100,7
AB29478100,7
AB294781G0,7
AB33029100,7
AB330291G0,7
AB38867100,7
AB388671G0,7
AB44843100,7
AB448431G0,7
AB51597100,7
AB515971G0,7
AC32322100,7
AC323221G0,7
AC33029100,7
AC330291G0,7
AC36129100,7
AC361291G0,7
AC36130100,7
AC361301G0,7
AC36935100,7
AC38867100,7
AC388671G0,7
B018017100,7
B018018100,7
B022144100,7
B022158100,7
B022159100,7
B0221591G0,7
B022160100,7
B0221601G0,7
B023564100,7
A041627100,7
A042909100,7
A042967100,7
A042999100,7
AC41669100,7
AC42947100,7
AC47472100,7
B006049100,7
A044619100,7
A045354100,7
B021530100,7
B022553100,7
A047538100,7
A049083100,7
A049544100,7
A050061100,7
A055406100,7
A055984100,7
AC45348100,7
AC48439100,7
AC48905100,7
AC49504100,7
AC49623100,7
AC49650100,7
AC49851100,7
AC49915100,7
B017090100,7
B017125100,7
B024039100,7
A030712100,7
A032350221,7
A032477100,7
A042801100,7
A046026100,7
A046140100,7
A049550221,7
AC31226100,7
AC39703100,7
AC49266100,7
B017560100,7
B017586100,7
B024532100,7
A044731100,7
A047295100,7
A047434100,7
A047460100,7
A049358100,7
A049469100,7
A055987100,7
